id,trip_id,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,license_plate,geometry
2773_727,4536_20260101_103_0_13,103_0,1,38.72452163696289,-9.15038013458252,36,IN_TRANSIT_TO,2026-05-08 21:12:30,1207,2773,AH-39-ND,POINT (-9.15038013458252 38.72452163696289)
2816_727,4518_20260101_103_0_6,103_0,1,38.745731353759766,-9.138199806213379,46,IN_TRANSIT_TO,2026-05-08 21:12:17,202,2816,90-II-56,POINT (-9.138199806213379 38.745731353759766)
1769_735,5182_20260101_172_1_19,172_1,0,38.70832061767578,-9.136819839477539,2,IN_TRANSIT_TO,2026-05-08 21:12:17,3824,1769,63-HX-24,POINT (-9.136819839477539 38.70832061767578)
308_708,3276_20260101_100_1_17,100_1,1,38.756980895996094,-9.130169868469238,30,IN_TRANSIT_TO,2026-05-08 21:12:38,7512,308,68-SX-55,POINT (-9.130169868469238 38.756980895996094)
1743_717,3822_20260101_170_0_18,170_0,1,38.77425003051758,-9.159480094909668,20,IN_TRANSIT_TO,2026-05-08 21:12:18,50163,1743,92-HR-00,POINT (-9.159480094909668 38.77425003051758)
1766_717,3781_20260101_170_0_15,170_0,1,38.74129867553711,-9.133480072021484,37,IN_TRANSIT_TO,2026-05-08 21:12:33,308,1766,63-HX-33,POINT (-9.133480072021484 38.74129867553711)
572_28E,14934_20260101_75_0_17,75_0,1,38.72272872924805,-9.135350227355957,33,IN_TRANSIT_TO,2026-05-08 21:12:27,706,572,,POINT (-9.135350227355957 38.72272872924805)
272_734,5150_20260101_205_0_39,205_0,1,38.716468811035156,-9.121970176696777,2,IN_TRANSIT_TO,2026-05-08 21:12:27,2103,272,AH-26-IN,POINT (-9.121970176696777 38.716468811035156)
2967_774,7457_20260101_192_1_34,192_1,1,38.7100715637207,-9.162400245666504,24,IN_TRANSIT_TO,2026-05-08 21:12:25,10013,2967,30-VM-05,POINT (-9.162400245666504 38.7100715637207)
2602_759,6981_20260101_144_0_16,144_0,1,38.71302032470703,-9.13634967803955,45,IN_TRANSIT_TO,2026-05-08 21:12:39,913,2602,16-VF-81,POINT (-9.13634967803955 38.71302032470703)
2718_759,6896_20260101_144_0_14,144_0,1,38.76688003540039,-9.119799613952637,14,IN_TRANSIT_TO,2026-05-08 21:12:35,7704,2718,92-XQ-23,POINT (-9.119799613952637 38.76688003540039)
