id,trip_id,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,license_plate,geometry
2302_742,5776_20250401_114_0_10,114_0,0,38.73469924926758,-9.137350082397461,19,IN_TRANSIT_TO,2025-05-23 14:18:02,11116,2302,83-08-ZM,POINT (-9.137350082397461 38.73469924926758)
2253_758,6831_20250401_150_0_10,150_0,0,38.74570083618164,-9.181719779968262,23,IN_TRANSIT_TO,2025-05-23 14:17:56,10702,2253,80-52-ZE,POINT (-9.181719779968262 38.74570083618164)
611_15E,11212_20250401_76_0_12,76_0,1,38.704750061035156,-9.177029609680176,14,IN_TRANSIT_TO,2025-05-23 14:18:06,12115,611,,POINT (-9.177029609680176 38.704750061035156)
304_744,5819_20250401_200_0_10,200_0,0,38.748878479003906,-9.144929885864258,10,IN_TRANSIT_TO,2025-05-23 14:17:55,2053,304,22-SP-91,POINT (-9.144929885864258 38.748878479003906)
6022_732,5057_20250401_107_0_7,107_0,0,38.704750061035156,-9.198969841003418,35,IN_TRANSIT_TO,2025-05-23 14:18:09,13304,6022,BF-48-BB,POINT (-9.198969841003418 38.704750061035156)
2315_708,3351_20250401_100_0_9,100_0,0,38.737518310546875,-9.133700370788574,8,IN_TRANSIT_TO,2025-05-23 14:18:12,413,2315,61-88-ZB,POINT (-9.133700370788574 38.737518310546875)
2440_767,7228_20250401_112_0_7,112_0,0,38.7518196105957,-9.197319984436035,33,IN_TRANSIT_TO,2025-05-23 14:17:57,10914,2440,29-AX-08,POINT (-9.197319984436035 38.7518196105957)
2448_747,6119_20250401_177_0_15,177_0,1,38.77207946777344,-9.190199851989746,5,IN_TRANSIT_TO,2025-05-23 14:17:42,14104,2448,44-BC-34,POINT (-9.190199851989746 38.77207946777344)
558_12E,11025_20250401_77_0_18,77_0,0,38.7099494934082,-9.13407039642334,8,IN_TRANSIT_TO,2025-05-23 14:17:49,13804,558,,POINT (-9.13407039642334 38.7099494934082)
2317_708,3276_20250401_100_0_11,100_0,1,38.762229919433594,-9.124300003051758,28,IN_TRANSIT_TO,2025-05-23 14:17:49,7504,2317,61-86-ZB,POINT (-9.124300003051758 38.762229919433594)
603_15E,11288_20250401_76_0_13,76_0,0,38.70452880859375,-9.175399780273438,9,IN_TRANSIT_TO,2025-05-23 14:17:48,4004,603,,POINT (-9.175399780273438 38.70452880859375)
2766_727,4553_20250401_103_0_8,103_0,1,38.7087516784668,-9.150580406188965,27,IN_TRANSIT_TO,2025-05-23 14:16:08,3922,2766,AH-40-ND,POINT (-9.150580406188965 38.7087516784668)
2250_731,19403_20240727_190_0_8,190_0,1,38.78303146362305,-9.114009857177734,3,IN_TRANSIT_TO,2024-08-10 10:41:27,12610,2250,80-41-ZE,POINT (-9.114009857177734 38.78303146362305)
4602_728,4706_20250401_204_0_8,204_0,0,38.76237106323242,-9.098119735717773,40,IN_TRANSIT_TO,2025-05-23 14:18:08,2404,4602,96-GL-80,POINT (-9.098119735717773 38.76237106323242)
2328_708,3311_20250401_100_0_10,100_0,0,38.787078857421875,-9.09749984741211,36,IN_TRANSIT_TO,2025-05-23 14:14:17,50300,2328,62-96-ZG,POINT (-9.09749984741211 38.787078857421875)
612_15E,11202_20250401_76_0_12,76_0,1,38.70627975463867,-9.145620346069336,19,IN_TRANSIT_TO,2025-05-23 14:18:07,7101,612,,POINT (-9.145620346069336 38.70627975463867)
2256_758,6815_20250401_150_0_11,150_0,0,38.750728607177734,-9.199480056762695,28,IN_TRANSIT_TO,2025-05-23 14:17:43,10906,2256,80-53-ZE,POINT (-9.199480056762695 38.750728607177734)
6033_732,5088_20250401_107_0_5,107_0,1,38.73276901245117,-9.145299911499023,37,IN_TRANSIT_TO,2025-05-23 14:18:15,1709,6033,BF-92-AZ,POINT (-9.145299911499023 38.73276901245117)
2954_40B,19262_20250401_212_0_14,212_0,1,38.78007888793945,-9.151949882507324,10,IN_TRANSIT_TO,2025-05-23 14:18:06,6021,2954,62-GQ-56,POINT (-9.151949882507324 38.78007888793945)
4614_750,6335_20250401_106_0_9,106_0,0,38.75802993774414,-9.153450012207031,15,IN_TRANSIT_TO,2025-05-23 14:18:09,5805,4614,96-GL-90,POINT (-9.153450012207031 38.75802993774414)
4616_750,6372_20250401_106_0_9,106_0,0,38.76313018798828,-9.10396957397461,3,IN_TRANSIT_TO,2025-05-23 14:13:57,2322,4616,22-GP-50,POINT (-9.10396957397461 38.76313018798828)
