id,trip_id,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,license_plate,geometry
6032_732,5076_20260101_107_0_7,107_0,0,38.74721908569336,-9.156880378723145,1,IN_TRANSIT_TO,2026-02-13 14:55:39,13506,6032,BF-93-BC,POINT (-9.156880378723145 38.74721908569336)
2689_764,7135_20260101_168_0_12,168_0,1,38.7481689453125,-9.191229820251465,18,IN_TRANSIT_TO,2026-02-13 14:55:40,10815,2689,93-XA-45,POINT (-9.191229820251465 38.7481689453125)
4645_728,4681_20260101_204_0_8,204_0,0,38.77745056152344,-9.101949691772461,47,IN_TRANSIT_TO,2026-02-13 14:55:48,7905,4645,98-JO-46,POINT (-9.101949691772461 38.77745056152344)
4648_748,6160_20260101_169_0_19,169_0,0,38.724849700927734,-9.18375015258789,5,IN_TRANSIT_TO,2026-02-13 14:55:40,8607,4648,98-JO-47,POINT (-9.18375015258789 38.724849700927734)
2302_796,8144_20260101_174_0_26,174_0,1,38.79151916503906,-9.15231990814209,2,IN_TRANSIT_TO,2026-02-13 14:55:21,11601,2302,83-08-ZM,POINT (-9.15231990814209 38.79151916503906)
2253_731,4974_20260101_190_0_7,190_0,0,38.7661018371582,-9.119649887084961,22,IN_TRANSIT_TO,2026-02-13 14:55:39,8403,2253,80-52-ZE,POINT (-9.119649887084961 38.7661018371582)
611_15E,11186_20260101_76_0_10,76_0,1,38.70418167114258,-9.173819541931152,14,IN_TRANSIT_TO,2026-02-13 14:55:40,12115,611,,POINT (-9.173819541931152 38.70418167114258)
4607_750,6421_20260101_106_0_9,106_0,0,38.72822189331055,-9.2118501663208,32,IN_TRANSIT_TO,2026-02-13 14:55:41,14008,4607,96-GL-84,POINT (-9.2118501663208 38.72822189331055)
4606_728,4621_20260101_204_0_9,204_0,1,38.72880172729492,-9.107500076293945,24,IN_TRANSIT_TO,2026-02-13 14:55:41,8312,4606,96-GL-83,POINT (-9.107500076293945 38.72880172729492)
6022_732,5057_20260101_107_0_7,107_0,0,38.704551696777344,-9.17566967010498,25,IN_TRANSIT_TO,2026-02-13 14:55:39,4004,6022,BF-48-BB,POINT (-9.17566967010498 38.704551696777344)
2315_712,3550_20260101_189_0_12,189_0,1,38.717918395996094,-9.122920036315918,28,IN_TRANSIT_TO,2026-02-13 14:55:16,2126,2315,61-88-ZB,POINT (-9.122920036315918 38.717918395996094)
2440_767,7223_20260101_112_0_7,112_0,0,38.75252914428711,-9.18887996673584,30,IN_TRANSIT_TO,2026-02-13 14:55:50,10808,2440,29-AX-08,POINT (-9.18887996673584 38.75252914428711)
2992_72B,45276_20260101_279_0_11,279_0,0,38.74530029296875,-9.204830169677734,13,IN_TRANSIT_TO,2026-02-13 14:55:47,2902,2992,29-VM-95,POINT (-9.204830169677734 38.74530029296875)
6010_706,3259_20260101_147_0_5,147_0,1,38.71997833251953,-9.117469787597656,4,IN_TRANSIT_TO,2026-02-13 14:55:42,2131,6010,81-ZC-09,POINT (-9.117469787597656 38.71997833251953)
2766_742,5737_20260101_114_0_7,114_0,0,38.7169189453125,-9.172249794006348,33,IN_TRANSIT_TO,2026-02-13 14:55:47,9303,2766,AH-40-ND,POINT (-9.172249794006348 38.7169189453125)
2250_731,19403_20240727_190_0_8,190_0,1,38.78303146362305,-9.114009857177734,3,IN_TRANSIT_TO,2024-08-10 10:41:27,12610,2250,80-41-ZE,POINT (-9.114009857177734 38.78303146362305)
2328_754,6592_20260101_201_0_11,201_0,0,38.74134826660156,-9.169730186462402,9,IN_TRANSIT_TO,2026-02-13 14:55:37,1609,2328,62-96-ZG,POINT (-9.169730186462402 38.74134826660156)
612_15E,11303_20260101_76_0_10,76_0,1,38.7127799987793,-9.137579917907715,23,IN_TRANSIT_TO,2026-02-13 14:55:23,50621,612,,POINT (-9.137579917907715 38.7127799987793)
2321_712,3565_20260101_189_0_11,189_0,0,38.70774841308594,-9.17354965209961,30,IN_TRANSIT_TO,2026-02-13 14:55:43,9401,2321,04-47-ZF,POINT (-9.17354965209961 38.70774841308594)
2256_731,5022_20260101_190_0_10,190_0,1,38.77437973022461,-9.106019973754883,12,IN_TRANSIT_TO,2026-02-13 14:55:45,7810,2256,80-53-ZE,POINT (-9.106019973754883 38.77437973022461)
2494_720,4094_20260101_143_0_12,143_0,1,38.72903060913086,-9.144020080566406,18,IN_TRANSIT_TO,2026-02-13 14:55:22,6601,2494,88-BL-68,POINT (-9.144020080566406 38.72903060913086)
6033_706,3266_20260101_147_0_10,147_0,0,38.719879150390625,-9.155050277709961,11,IN_TRANSIT_TO,2026-02-13 14:55:19,6817,6033,BF-92-AZ,POINT (-9.155050277709961 38.719879150390625)
4620_750,6262_20260101_106_0_9,106_0,0,38.7277717590332,-9.210280418395996,32,IN_TRANSIT_TO,2026-02-13 14:55:42,14008,4620,22-GP-54,POINT (-9.210280418395996 38.7277717590332)
2955_798,8198_20260101_194_0_18,194_0,1,38.7805290222168,-9.150830268859863,11,IN_TRANSIT_TO,2026-02-13 14:55:48,50344,2955,27-GU-70,POINT (-9.150830268859863 38.7805290222168)
2951_765,7176_20260101_110_0_32,110_0,1,38.754520416259766,-9.195980072021484,8,IN_TRANSIT_TO,2026-02-13 14:55:30,10909,2951,62-GQ-53,POINT (-9.195980072021484 38.754520416259766)
2954_40B,17568_20260101_212_0_14,212_0,1,38.78049850463867,-9.14822006225586,13,IN_TRANSIT_TO,2026-02-13 14:55:33,50350,2954,62-GQ-56,POINT (-9.14822006225586 38.78049850463867)
