id,trip_id,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,license_plate,geometry
5252_728,4742_20250101_204_0_10,204_0,1,38.751220703125,-9.279529571533203,0,IN_TRANSIT_TO,2025-03-12 19:54:26,,5252,Testes,POINT (-9.279529571533203 38.751220703125)
2689_738,5553_20250101_117_0_13,117_0,0,38.71480178833008,-9.160679817199707,26,IN_TRANSIT_TO,2025-03-12 19:54:17,8104,2689,93-XA-45,POINT (-9.160679817199707 38.71480178833008)
4645_748,6144_20250101_169_0_17,169_0,0,38.72480010986328,-9.21282958984375,5,IN_TRANSIT_TO,2025-03-12 19:54:11,8607,4645,98-JO-46,POINT (-9.21282958984375 38.72480010986328)
4648_750,6262_20250101_106_0_13,106_0,0,38.75830078125,-9.160829544067383,16,IN_TRANSIT_TO,2025-03-12 19:54:22,5810,4648,98-JO-47,POINT (-9.160829544067383 38.75830078125)
2793_712,3569_20250101_189_0_4,189_0,1,38.72747039794922,-9.138449668884277,20,IN_TRANSIT_TO,2025-03-12 19:54:17,615,2793,AJ-58-LI,POINT (-9.138449668884277 38.72747039794922)
2253_799,8217_20250101_120_0_16,120_0,1,38.75505065917969,-9.195119857788086,23,IN_TRANSIT_TO,2025-03-12 19:54:21,10917,2253,80-52-ZE,POINT (-9.195119857788086 38.75505065917969)
611_15E,11264_20250101_76_0_18,76_0,1,38.706321716308594,-9.146200180053711,19,IN_TRANSIT_TO,2025-03-12 19:54:11,7101,611,,POINT (-9.146200180053711 38.706321716308594)
4607_750,6283_20250101_106_0_5,106_0,0,38.75885009765625,-9.159469604492188,16,IN_TRANSIT_TO,2025-03-12 19:54:09,5810,4607,96-GL-84,POINT (-9.159469604492188 38.75885009765625)
6022_760,7066_20250101_171_0_12,171_0,0,38.706321716308594,-9.155679702758789,14,IN_TRANSIT_TO,2025-03-12 19:54:07,3902,6022,BF-48-BB,POINT (-9.155679702758789 38.706321716308594)
2440_716,3718_20250101_164_0_22,164_0,1,38.73524856567383,-9.146280288696289,22,IN_TRANSIT_TO,2025-03-12 19:54:01,1806,2440,29-AX-08,POINT (-9.146280288696289 38.73524856567383)
603_15E,11238_20250101_76_0_16,76_0,1,38.701751708984375,-9.180170059204102,13,IN_TRANSIT_TO,2025-03-12 19:54:13,12111,603,,POINT (-9.180170059204102 38.701751708984375)
4604_728,4689_20250101_204_0_3,204_0,1,38.70066833496094,-9.206100463867188,44,IN_TRANSIT_TO,2025-03-12 19:54:27,9608,4604,96-GL-82,POINT (-9.206100463867188 38.70066833496094)
2250_731,19403_20240727_190_0_8,190_0,1,38.78303146362305,-9.114009857177734,3,IN_TRANSIT_TO,2024-08-10 10:41:27,12610,2250,80-41-ZE,POINT (-9.114009857177734 38.78303146362305)
6021_732,5057_20250101_107_0_10,107_0,1,38.71696853637695,-9.21304988861084,0,IN_TRANSIT_TO,2025-03-12 19:54:28,,6021,BD-91-QG,POINT (-9.21304988861084 38.71696853637695)
2292_724,4222_20250101_178_0_23,178_0,0,38.70830154418945,-9.179519653320312,2,IN_TRANSIT_TO,2025-03-12 19:54:23,12117,2292,83-16-ZM,POINT (-9.179519653320312 38.70830154418945)
2795_712,3558_20250101_189_0_17,189_0,0,38.72639846801758,-9.13556957244873,12,IN_TRANSIT_TO,2025-03-12 19:54:02,605,2795,AJ-55-LI,POINT (-9.13556957244873 38.72639846801758)
2494_720,4087_20250101_143_0_17,143_0,0,38.70962905883789,-9.166219711303711,21,IN_TRANSIT_TO,2025-03-12 19:54:01,10104,2494,88-BL-68,POINT (-9.166219711303711 38.70962905883789)
2830_728,4601_20250101_204_0_10,204_0,0,38.76628112792969,-9.097900390625,42,IN_TRANSIT_TO,2025-03-12 19:54:25,2512,2830,BF-57-FZ,POINT (-9.097900390625 38.76628112792969)
2346_768,7319_20250101_111_0_15,111_0,0,38.767181396484375,-9.197400093078613,21,IN_TRANSIT_TO,2025-03-10 14:56:22,13906,2346,62-93-ZG,POINT (-9.197400093078613 38.767181396484375)
6033_706,3251_20250101_147_0_12,147_0,1,38.71678161621094,-9.155070304870605,25,IN_TRANSIT_TO,2025-03-12 19:54:22,6818,6033,BF-92-AZ,POINT (-9.155070304870605 38.71678161621094)
4617_748,6160_20250101_169_0_14,169_0,1,38.714271545410156,-9.227470397949219,3,IN_TRANSIT_TO,2025-03-12 19:53:48,14305,4617,22-GP-51,POINT (-9.227470397949219 38.714271545410156)
4620_750,6424_20250101_106_0_9,106_0,0,38.749080657958984,-9.189579963684082,22,IN_TRANSIT_TO,2025-03-12 19:53:29,10816,4620,22-GP-54,POINT (-9.189579963684082 38.749080657958984)
2955_798,8190_20250101_194_0_28,194_0,1,38.77465057373047,-9.148850440979004,13,IN_TRANSIT_TO,2025-03-12 19:54:08,11505,2955,27-GU-70,POINT (-9.148850440979004 38.77465057373047)
2951_26B,17520_20250101_208_0_21,208_0,0,38.7747688293457,-9.105730056762695,10,IN_TRANSIT_TO,2025-03-12 19:54:01,7908,2951,62-GQ-53,POINT (-9.105730056762695 38.7747688293457)
2954_40B,17568_20250101_212_0_22,212_0,1,38.77914810180664,-9.144829750061035,15,IN_TRANSIT_TO,2025-03-12 19:54:14,11511,2954,62-GQ-56,POINT (-9.144829750061035 38.77914810180664)
2624_781,7756_20250101_151_0_17,151_0,1,38.77212905883789,-9.11007022857666,9,IN_TRANSIT_TO,2025-03-12 19:54:02,12310,2624,72-VP-82,POINT (-9.11007022857666 38.77212905883789)
4642_750,6326_20250101_106_0_4,106_0,1,38.761600494384766,-9.131099700927734,29,IN_TRANSIT_TO,2025-03-12 19:54:03,11305,4642,90-JI-99,POINT (-9.131099700927734 38.761600494384766)
4816_728,4569_20250101_204_0_11,204_0,1,38.766151428222656,-9.098079681396484,10,IN_TRANSIT_TO,2025-03-12 19:54:09,2511,4816,34-VR-17,POINT (-9.098079681396484 38.766151428222656)
4616_750,6335_20250101_106_0_12,106_0,1,38.759429931640625,-9.137200355529785,28,IN_TRANSIT_TO,2025-03-12 19:54:21,11303,4616,22-GP-50,POINT (-9.137200355529785 38.759429931640625)
2943_26B,17510_20250101_208_0_22,208_0,1,38.76832962036133,-9.104499816894531,7,IN_TRANSIT_TO,2025-03-12 19:54:13,7825,2943,51-GL-83,POINT (-9.104499816894531 38.76832962036133)
2953_71B,45266_20250101_278_0_17,278_0,0,38.7441291809082,-9.199629783630371,7,IN_TRANSIT_TO,2025-03-12 19:54:08,2805,2953,62-GQ-55,POINT (-9.199629783630371 38.7441291809082)
2945_32B,17548_20250101_211_0_21,211_0,0,38.747379302978516,-9.118969917297363,15,IN_TRANSIT_TO,2025-03-12 19:54:02,3605,2945,75-GO-14,POINT (-9.118969917297363 38.747379302978516)
4626_783,7842_20250101_203_0_15,203_0,0,38.722900390625,-9.16112995147705,0,IN_TRANSIT_TO,2025-03-12 19:54:06,,4626,90-JI-93,POINT (-9.16112995147705 38.722900390625)
4646_750,6313_20250101_106_0_14,106_0,0,38.76762008666992,-9.103850364685059,1,IN_TRANSIT_TO,2025-03-12 19:54:02,7813,4646,11-JM-79,POINT (-9.103850364685059 38.76762008666992)
4631_796,8140_20250101_174_0_37,174_0,0,38.76599884033203,-9.157400131225586,2,IN_TRANSIT_TO,2025-03-12 19:44:26,5811,4631,02-JN-86,POINT (-9.157400131225586 38.76599884033203)
4822_736,5414_20250101_199_0_4,199_0,1,38.74195098876953,-9.146929740905762,21,IN_TRANSIT_TO,2025-03-12 19:54:17,1902,4822,58-VS-27,POINT (-9.146929740905762 38.74195098876953)
4630_796,8113_20250101_174_0_30,174_0,1,38.79307174682617,-9.15546989440918,4,IN_TRANSIT_TO,2025-03-12 19:54:24,11607,4630,02-JN-85,POINT (-9.15546989440918 38.79307174682617)
2973_45B,49563_20250101_277_0_6,277_0,1,38.774169921875,-9.16016960144043,22,IN_TRANSIT_TO,2025-03-12 19:54:18,5905,2973,30-VM-13,POINT (-9.16016960144043 38.774169921875)
4818_751,6481_20250101_109_0_20,109_0,1,38.69905090332031,-9.225549697875977,11,IN_TRANSIT_TO,2025-03-12 19:54:08,4210,4818,42-VT-57,POINT (-9.225549697875977 38.69905090332031)
2699_738,5550_20250101_117_0_14,117_0,1,38.7065315246582,-9.167679786682129,7,IN_TRANSIT_TO,2025-03-12 19:54:07,10203,2699,92-XQ-25,POINT (-9.167679786682129 38.7065315246582)
2690_746,5993_20250101_108_0_17,108_0,0,38.74943161010742,-9.19225025177002,17,IN_TRANSIT_TO,2025-03-12 19:54:19,10814,2690,99-XE-57,POINT (-9.19225025177002 38.74943161010742)
2693_746,5986_20250101_108_0_20,108_0,1,38.75080108642578,-9.201580047607422,5,IN_TRANSIT_TO,2025-03-12 19:54:20,10903,2693,90-XF-46,POINT (-9.201580047607422 38.75080108642578)
2694_727,4463_20250101_103_0_11,103_0,0,38.72222900390625,-9.151749610900879,15,IN_TRANSIT_TO,2025-03-12 19:54:25,6806,2694,90-XF-49,POINT (-9.151749610900879 38.72222900390625)
2669_714,3709_20250101_102_0_14,102_0,1,38.70331954956055,-9.171629905700684,28,IN_TRANSIT_TO,2025-03-12 19:54:12,12105,2669,87-XB-34,POINT (-9.171629905700684 38.70331954956055)
6048_732,5101_20250101_107_0_3,107_0,1,38.74092102050781,-9.146269798278809,38,IN_TRANSIT_TO,2025-03-12 19:54:27,1809,6048,BH-46-IR,POINT (-9.146269798278809 38.74092102050781)
2695_764,7158_20250101_168_0_18,168_0,0,38.75257873535156,-9.15939998626709,1,IN_TRANSIT_TO,2025-03-12 19:54:27,3004,2695,90-XF-50,POINT (-9.15939998626709 38.75257873535156)
2705_714,3697_20250101_102_0_14,102_0,1,38.704681396484375,-9.177669525146484,28,IN_TRANSIT_TO,2025-03-12 19:54:13,12105,2705,92-XQ-29,POINT (-9.177669525146484 38.704681396484375)
2684_714,3705_20250101_102_0_15,102_0,0,38.706451416015625,-9.148579597473145,2,IN_TRANSIT_TO,2025-03-12 19:54:07,3802,2684,99-XE-59,POINT (-9.148579597473145 38.706451416015625)
2683_738,5512_20250101_117_0_14,117_0,1,38.750179290771484,-9.161649703979492,30,IN_TRANSIT_TO,2025-03-12 19:54:18,13508,2683,99-XE-55,POINT (-9.161649703979492 38.750179290771484)
4619_728,4722_20250101_204_4_16,204_4,1,38.706321716308594,-9.144769668579102,7,IN_TRANSIT_TO,2025-03-12 19:54:25,3820,4619,22-GP-53,POINT (-9.144769668579102 38.706321716308594)
2678_738,5544_20250101_117_0_4,117_0,1,38.73820114135742,-9.145770072937012,21,IN_TRANSIT_TO,2025-03-12 19:54:19,1805,2678,93-XA-39,POINT (-9.145770072937012 38.73820114135742)
4643_748,6155_20250101_169_0_16,169_0,1,38.724769592285156,-9.150670051574707,10,IN_TRANSIT_TO,2025-03-12 19:54:24,1212,4643,98-JO-45,POINT (-9.150670051574707 38.724769592285156)
2676_738,5566_20250101_117_0_14,117_0,0,38.73379898071289,-9.145130157470703,18,IN_TRANSIT_TO,2025-03-12 19:54:21,1802,2676,87-XB-40,POINT (-9.145130157470703 38.73379898071289)
2671_727,4515_20250101_103_0_11,103_0,1,38.74068069458008,-9.146300315856934,41,IN_TRANSIT_TO,2025-03-12 19:54:18,1805,2671,87-XB-43,POINT (-9.146300315856934 38.74068069458008)
2680_727,4536_20250101_103_0_11,103_0,1,38.70690155029297,-9.158129692077637,19,IN_TRANSIT_TO,2025-03-12 19:54:07,12105,2680,93-XA-36,POINT (-9.158129692077637 38.70690155029297)
