id,trip_id,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,license_plate,geometry
4645_750,6280_20250101_106_0_10,106_0,0,38.75809860229492,-9.141679763793945,12,IN_TRANSIT_TO,2025-02-22 14:36:12,11306,4645,98-JO-46,POINT (-9.141679763793945 38.75809860229492)
4648_750,6376_20250101_106_0_10,106_0,0,38.72412109375,-9.209400177001953,34,IN_TRANSIT_TO,2025-02-22 14:35:55,18111,4648,98-JO-47,POINT (-9.209400177001953 38.72412109375)
611_15E,11229_20250101_76_0_13,76_0,0,38.706119537353516,-9.143349647521973,1,IN_TRANSIT_TO,2025-02-22 14:36:11,3802,611,,POINT (-9.143349647521973 38.706119537353516)
2448_716,3739_20250101_164_0_12,164_0,1,38.73514938354492,-9.145580291748047,22,IN_TRANSIT_TO,2025-02-22 14:36:00,1806,2448,44-BC-34,POINT (-9.145580291748047 38.73514938354492)
6010_706,19506_20250101_147_0_9,147_0,0,38.7227783203125,-9.149450302124023,13,IN_TRANSIT_TO,2025-02-22 14:36:25,1216,6010,81-ZC-09,POINT (-9.149450302124023 38.7227783203125)
558_18E,12183_20250101_78_0_17,78_0,0,38.703651428222656,-9.163000106811523,5,IN_TRANSIT_TO,2025-02-22 14:35:55,3906,558,,POINT (-9.163000106811523 38.703651428222656)
2317_735,5233_20250101_172_0_11,172_0,0,38.71323013305664,-9.123579978942871,5,IN_TRANSIT_TO,2025-02-22 14:36:22,8201,2317,61-86-ZB,POINT (-9.123579978942871 38.71323013305664)
2766_727,4471_20250101_103_0_8,103_0,0,38.70716857910156,-9.160900115966797,22,IN_TRANSIT_TO,2025-02-22 14:35:55,50593,2766,AH-40-ND,POINT (-9.160900115966797 38.70716857910156)
2250_731,19403_20240727_190_0_8,190_0,1,38.78303146362305,-9.114009857177734,3,IN_TRANSIT_TO,2024-08-10 10:41:27,12610,2250,80-41-ZE,POINT (-9.114009857177734 38.78303146362305)
612_15E,11213_20250101_76_0_7,76_0,0,38.70613098144531,-9.156220436096191,3,IN_TRANSIT_TO,2025-02-22 14:35:58,3902,612,,POINT (-9.156220436096191 38.70613098144531)
2830_728,4693_20250101_204_0_9,204_0,1,38.78123092651367,-9.109230041503906,0,IN_TRANSIT_TO,2025-02-22 14:36:19,,2830,BF-57-FZ,POINT (-9.109230041503906 38.78123092651367)
4617_750,6354_20250101_106_0_10,106_0,1,38.70077896118164,-9.227149963378906,1,IN_TRANSIT_TO,2025-02-22 14:35:54,4201,4617,22-GP-51,POINT (-9.227149963378906 38.70077896118164)
2624_744,5807_20250101_200_0_11,200_0,0,38.769798278808594,-9.126179695129395,19,IN_TRANSIT_TO,2025-02-22 14:36:14,7603,2624,72-VP-82,POINT (-9.126179695129395 38.769798278808594)
4650_750,6328_20250101_106_0_10,106_0,1,38.74747848510742,-9.190170288085938,17,IN_TRANSIT_TO,2025-02-22 14:35:59,10803,4650,11-JM-80,POINT (-9.190170288085938 38.74747848510742)
4818_751,6451_20250101_109_0_16,109_0,1,38.70042037963867,-9.21006965637207,16,IN_TRANSIT_TO,2025-02-22 14:36:03,9613,4818,42-VT-57,POINT (-9.21006965637207 38.70042037963867)
2692_754,6595_20250101_201_2_16,201_2,0,38.74435043334961,-9.194580078125,11,IN_TRANSIT_TO,2025-02-22 14:36:10,10818,2692,90-XF-62,POINT (-9.194580078125 38.74435043334961)
2691_764,7136_20250101_168_2_22,168_2,1,38.744319915771484,-9.194049835205078,15,IN_TRANSIT_TO,2025-02-22 14:35:56,2811,2691,90-XF-45,POINT (-9.194049835205078 38.744319915771484)
2690_15E,21270_20250101_76_0_8,76_0,0,38.70372009277344,-9.162670135498047,5,IN_TRANSIT_TO,2025-02-22 14:36:25,10202,2690,99-XE-57,POINT (-9.162670135498047 38.70372009277344)
2693_754,6581_20250101_201_2_16,201_2,1,38.73352813720703,-9.220080375671387,8,IN_TRANSIT_TO,2025-02-22 14:35:54,18103,2693,90-XF-46,POINT (-9.220080375671387 38.73352813720703)
2694_754,6601_20250101_201_2_14,201_2,1,38.74692153930664,-9.189620018005371,21,IN_TRANSIT_TO,2025-02-22 14:36:19,10815,2694,90-XF-49,POINT (-9.189620018005371 38.74692153930664)
2669_727,4510_20250101_103_2_4,103_2,1,38.74570083618164,-9.147600173950195,43,IN_TRANSIT_TO,2025-02-22 14:36:04,2022,2669,87-XB-34,POINT (-9.147600173950195 38.74570083618164)
2684_776,7477_20250101_193_2_36,193_2,0,38.70077133178711,-9.244729995727539,6,IN_TRANSIT_TO,2025-02-22 14:36:07,14904,2684,99-XE-59,POINT (-9.244729995727539 38.70077133178711)
6046_760,7060_20250101_171_0_4,171_0,0,38.70600128173828,-9.156550407409668,14,IN_TRANSIT_TO,2025-02-22 14:36:22,3902,6046,BH-73-IR,POINT (-9.156550407409668 38.70600128173828)
4619_750,6302_20250101_106_0_10,106_0,0,38.76778030395508,-9.1045503616333,1,IN_TRANSIT_TO,2025-02-22 14:36:27,7813,4619,22-GP-53,POINT (-9.1045503616333 38.76778030395508)
2946_29B,17534_20250101_209_0_8,209_0,0,38.765228271484375,-9.120479583740234,29,IN_TRANSIT_TO,2025-02-13 12:17:40,7520,2946,75-GO-15,POINT (-9.120479583740234 38.765228271484375)
2952_40B,19269_20250101_212_0_13,212_0,0,38.78779983520508,-9.163350105285645,27,IN_TRANSIT_TO,2025-02-22 14:36:08,50163,2952,62-GQ-54,POINT (-9.163350105285645 38.78779983520508)
2948_29B,17525_20250101_209_0_14,209_0,0,38.76068115234375,-9.106120109558105,5,IN_TRANSIT_TO,2025-02-22 14:36:12,2335,2948,51-GL-85,POINT (-9.106120109558105 38.76068115234375)
4643_750,6350_20250101_106_0_11,106_0,1,38.74502182006836,-9.2050199508667,11,IN_TRANSIT_TO,2025-02-22 14:36:03,8811,4643,98-JO-45,POINT (-9.2050199508667 38.74502182006836)
2671_709,3385_20250101_148_0_23,148_0,1,38.71567153930664,-9.141949653625488,9,IN_TRANSIT_TO,2025-02-22 14:36:16,1102,2671,87-XB-43,POINT (-9.141949653625488 38.71567153930664)
2679_727,4490_20250101_103_0_9,103_0,0,38.73442840576172,-9.145119667053223,9,IN_TRANSIT_TO,2025-02-22 14:36:15,1810,2679,93-XA-34,POINT (-9.145119667053223 38.73442840576172)
2672_709,3395_20250101_148_0_22,148_0,0,38.71406936645508,-9.160969734191895,9,IN_TRANSIT_TO,2025-02-22 14:35:45,8104,2672,87-XB-44,POINT (-9.160969734191895 38.71406936645508)
2670_727,4507_20250101_103_0_6,103_0,1,38.724430084228516,-9.150520324707031,36,IN_TRANSIT_TO,2025-02-22 14:36:02,1207,2670,87-XB-32,POINT (-9.150520324707031 38.724430084228516)
2675_714,3679_20250101_102_0_7,102_0,0,38.70777893066406,-9.173569679260254,4,IN_TRANSIT_TO,2025-02-22 14:36:13,3926,2675,87-XB-35,POINT (-9.173569679260254 38.70777893066406)
2964_774,7451_20250101_192_1_13,192_1,1,38.7069206237793,-9.158320426940918,28,IN_TRANSIT_TO,2025-02-22 14:36:13,3915,2964,30-VM-19,POINT (-9.158320426940918 38.7069206237793)
6031_760,51290_20250101_171_0_5,171_0,1,38.70534896850586,-9.185420036315918,21,IN_TRANSIT_TO,2025-02-22 14:36:20,12011,6031,BF-87-AX,POINT (-9.185420036315918 38.70534896850586)
604_15E,11255_20250101_76_0_6,76_0,1,38.70429992675781,-9.174280166625977,14,IN_TRANSIT_TO,2025-02-22 14:35:57,12115,604,,POINT (-9.174280166625977 38.70429992675781)
4819_751,6483_20250101_109_0_13,109_0,0,38.699649810791016,-9.184399604797363,11,IN_TRANSIT_TO,2025-02-22 14:36:03,9504,4819,34-VR-16,POINT (-9.184399604797363 38.699649810791016)
2718_727,4449_20250101_103_2_9,103_2,1,38.711368560791016,-9.210419654846191,3,IN_TRANSIT_TO,2025-02-22 14:36:10,12405,2718,92-XQ-23,POINT (-9.210419654846191 38.711368560791016)
2723_711,3489_20250101_101_0_11,101_0,0,38.73612976074219,-9.20536994934082,17,IN_TRANSIT_TO,2025-02-22 14:36:00,8827,2723,92-XQ-43,POINT (-9.20536994934082 38.73612976074219)
2827_728,4653_20250101_204_0_8,204_0,1,38.76116943359375,-9.096400260925293,12,IN_TRANSIT_TO,2025-02-22 14:35:57,2403,2827,BF-61-FZ,POINT (-9.096400260925293 38.76116943359375)
2658_738,5526_20250101_117_0_11,117_0,0,38.72306823730469,-9.15149974822998,22,IN_TRANSIT_TO,2025-02-22 14:36:21,1208,2658,05-VZ-71,POINT (-9.15149974822998 38.72306823730469)
4634_796,8136_20250101_174_0_20,174_0,1,38.77415084838867,-9.162050247192383,11,IN_TRANSIT_TO,2025-02-22 14:36:06,5908,4634,11-JM-78,POINT (-9.162050247192383 38.77415084838867)
2414_716,3731_20250101_164_0_13,164_0,0,38.7377815246582,-9.156319618225098,8,IN_TRANSIT_TO,2025-02-22 14:36:24,1503,2414,92-AO-51,POINT (-9.156319618225098 38.7377815246582)
2417_729,18901_20250101_104_0_8,104_0,1,38.721378326416016,-9.19717025756836,19,IN_TRANSIT_TO,2025-02-22 14:36:23,21304,2417,50-AL-06,POINT (-9.19717025756836 38.721378326416016)
2755_720,4059_20250101_143_0_13,143_0,0,38.72943115234375,-9.143600463867188,12,IN_TRANSIT_TO,2025-02-22 14:36:19,1710,2755,AG-95-TG,POINT (-9.143600463867188 38.72943115234375)
2298_723,4163_20250101_121_0_12,121_0,1,38.72711944580078,-9.146249771118164,29,IN_TRANSIT_TO,2025-02-22 14:36:15,1201,2298,83-05-ZM,POINT (-9.146249771118164 38.72711944580078)
2282_731,4990_20250101_190_0_12,190_0,1,38.76689910888672,-9.119850158691406,15,IN_TRANSIT_TO,2025-02-22 14:36:06,7702,2282,67-35-ZJ,POINT (-9.119850158691406 38.76689910888672)
2628_744,22979_20250101_200_0_9,200_0,0,38.76816940307617,-9.097780227661133,24,IN_TRANSIT_TO,2025-02-22 14:36:19,7711,2628,52-VP-82,POINT (-9.097780227661133 38.76816940307617)
1717_742,5744_20250101_114_0_9,114_0,1,38.70349884033203,-9.179369926452637,19,IN_TRANSIT_TO,2025-02-22 14:35:59,12107,1717,69-AL-80,POINT (-9.179369926452637 38.70349884033203)
2301_723,4144_20250101_121_0_13,121_0,0,38.71192169189453,-9.21168041229248,20,IN_TRANSIT_TO,2025-02-22 14:35:56,12415,2301,83-12-ZM,POINT (-9.21168041229248 38.71192169189453)
6015_706,19494_20250101_147_0_3,147_0,1,38.720481872558594,-9.117919921875,5,IN_TRANSIT_TO,2025-02-22 14:36:24,9824,6015,69-ZF-01,POINT (-9.117919921875 38.720481872558594)
2629_759,6952_20250101_144_0_11,144_0,0,38.71390151977539,-9.139769554138184,2,IN_TRANSIT_TO,2025-02-22 14:36:04,902,2629,52-VP-81,POINT (-9.139769554138184 38.71390151977539)
4835_736,18825_20250101_199_0_9,199_0,0,38.76234817504883,-9.157230377197266,16,IN_TRANSIT_TO,2025-02-22 14:36:15,5807,4835,53-VR-06,POINT (-9.157230377197266 38.76234817504883)
4811_751,6440_20250101_109_0_14,109_0,0,38.725181579589844,-9.172679901123047,1,IN_TRANSIT_TO,2025-02-22 14:36:17,2702,4811,34-VR-20,POINT (-9.172679901123047 38.725181579589844)
4601_750,6393_20250101_106_0_11,106_0,0,38.75973129272461,-9.155779838562012,16,IN_TRANSIT_TO,2025-02-18 21:09:00,5810,4601,96-GL-79,POINT (-9.155779838562012 38.75973129272461)
2978_774,7431_20250101_192_1_13,192_1,0,38.71369934082031,-9.160120010375977,14,IN_TRANSIT_TO,2025-02-22 14:35:59,8112,2978,29-VM-92,POINT (-9.160120010375977 38.71369934082031)
2430_778,18906_20250101_179_0_17,179_0,0,38.764278411865234,-9.171199798583984,6,IN_TRANSIT_TO,2025-02-22 14:36:19,50007,2430,29-AX-12,POINT (-9.171199798583984 38.764278411865234)
2779_712,3542_20250101_189_2_18,189_2,1,38.72475051879883,-9.150629997253418,2,IN_TRANSIT_TO,2025-02-22 14:36:16,1212,2779,AI-02-BT,POINT (-9.150629997253418 38.72475051879883)
6009_706,19500_20250101_147_0_12,147_0,0,38.73331832885742,-9.132780075073242,22,IN_TRANSIT_TO,2025-02-22 14:35:31,504,6009,81-ZC-18,POINT (-9.132780075073242 38.73331832885742)
2272_768,7344_20250101_111_2_11,111_2,0,38.757469177246094,-9.178500175476074,14,IN_TRANSIT_TO,2025-02-22 14:36:07,13606,2272,76-80-ZG,POINT (-9.178500175476074 38.757469177246094)
2345_724,4189_20250101_178_0_17,178_0,0,38.737850189208984,-9.2050199508667,14,IN_TRANSIT_TO,2025-02-22 14:36:09,8829,2345,53-59-ZJ,POINT (-9.2050199508667 38.737850189208984)
2614_718,3955_20250101_105_0_15,105_0,1,38.738250732421875,-9.133720397949219,3,IN_TRANSIT_TO,2025-02-22 14:36:16,404,2614,66-VI-24,POINT (-9.133720397949219 38.738250732421875)
2965_737,5490_20250101_173_0_21,173_0,1,38.7135009765625,-9.13694953918457,6,IN_TRANSIT_TO,2025-02-22 14:36:17,913,2965,29-VM-97,POINT (-9.13694953918457 38.7135009765625)
2997_45B,45294_20250101_277_0_13,277_0,1,38.76287078857422,-9.156649589538574,14,IN_TRANSIT_TO,2025-02-22 14:35:49,5807,2997,34-VN-03,POINT (-9.156649589538574 38.76287078857422)
4821_736,5323_20250101_199_0_10,199_0,1,38.72407913208008,-9.149029731750488,28,IN_TRANSIT_TO,2025-02-22 14:36:18,1006,4821,20-VQ-68,POINT (-9.149029731750488 38.72407913208008)
2601_718,3966_20250101_105_0_12,105_0,0,38.739051818847656,-9.103150367736816,13,IN_TRANSIT_TO,2025-02-22 14:36:02,12510,2601,04-VA-70,POINT (-9.103150367736816 38.739051818847656)
2739_701,2955_20250101_123_0_17,123_0,1,38.755699157714844,-9.151530265808105,29,IN_TRANSIT_TO,2025-02-22 14:36:09,5705,2739,AG-31-EI,POINT (-9.151530265808105 38.755699157714844)
2602_708,3341_20250101_100_0_6,100_0,1,38.767398834228516,-9.110269546508789,17,IN_TRANSIT_TO,2025-02-22 14:36:06,50330,2602,16-VF-81,POINT (-9.110269546508789 38.767398834228516)
2749_742,5702_20250101_114_0_10,114_0,0,38.72557067871094,-9.118749618530273,11,IN_TRANSIT_TO,2025-02-22 14:36:02,9802,2749,AG-03-TH,POINT (-9.118749618530273 38.72557067871094)
2988_730,4940_20250101_198_0_16,198_0,0,38.7382698059082,-9.125630378723145,8,IN_TRANSIT_TO,2025-02-22 14:35:54,8905,2988,29-VM-94,POINT (-9.125630378723145 38.7382698059082)
2657_714,3654_20250101_102_0_12,102_0,1,38.70914840698242,-9.21522045135498,14,IN_TRANSIT_TO,2025-02-22 14:35:59,12407,2657,05-VZ-66,POINT (-9.21522045135498 38.70914840698242)
2638_783,7819_20250101_203_2_14,203_2,1,38.79011917114258,-9.123669624328613,0,IN_TRANSIT_TO,2025-02-22 14:35:55,,2638,87-VS-48,POINT (-9.123669624328613 38.79011917114258)
2633_759,6912_20250101_144_0_9,144_0,0,38.77492141723633,-9.113980293273926,40,IN_TRANSIT_TO,2025-02-22 14:36:01,12310,2633,52-VP-79,POINT (-9.113980293273926 38.77492141723633)
2716_714,3635_20250101_102_0_8,102_0,1,38.69742965698242,-9.19867992401123,22,IN_TRANSIT_TO,2025-02-22 14:35:54,4113,2716,92-XQ-27,POINT (-9.19867992401123 38.69742965698242)
4820_728,4633_20250101_204_0_8,204_0,1,38.69860076904297,-9.182920455932617,40,IN_TRANSIT_TO,2025-02-22 14:36:03,4002,4820,20-VQ-62,POINT (-9.182920455932617 38.69860076904297)
6041_706,3219_20250101_147_0_3,147_0,0,38.706329345703125,-9.145369529724121,2,IN_TRANSIT_TO,2025-02-22 14:36:06,3802,6041,BG-20-LV,POINT (-9.145369529724121 38.706329345703125)
2639_759,6937_20250101_144_0_11,144_0,0,38.71432876586914,-9.122879981994629,7,IN_TRANSIT_TO,2025-02-22 14:35:57,2101,2639,75-VS-47,POINT (-9.122879981994629 38.71432876586914)
2647_725,4242_20250101_197_2_24,197_2,1,38.77397918701172,-9.10669994354248,11,IN_TRANSIT_TO,2025-02-22 14:36:13,12301,2647,75-VS-45,POINT (-9.10669994354248 38.77397918701172)
2989_72B,45254_20250101_279_0_12,279_0,0,38.73912811279297,-9.20199966430664,18,IN_TRANSIT_TO,2025-02-22 14:36:06,8829,2989,29-VM-85,POINT (-9.20199966430664 38.73912811279297)
2724_764,7143_20250101_168_2_21,168_2,0,38.746150970458984,-9.217300415039062,14,IN_TRANSIT_TO,2025-02-22 14:36:07,3014,2724,92-XQ-40,POINT (-9.217300415039062 38.746150970458984)
273_28E,44751_20250101_75_8_19,75_8,1,38.710899353027344,-9.15095043182373,15,IN_TRANSIT_TO,2025-02-22 14:36:23,8110,273,AH-15-TB,POINT (-9.15095043182373 38.710899353027344)
2632_759,6934_20250101_144_0_9,144_0,0,38.73643112182617,-9.113200187683105,19,IN_TRANSIT_TO,2025-02-22 14:35:55,17579,2632,52-VP-88,POINT (-9.113200187683105 38.73643112182617)
548_12E,11039_20250101_77_0_10,77_0,0,38.71131896972656,-9.13064956665039,7,IN_TRANSIT_TO,2025-02-22 14:36:17,13816,548,,POINT (-9.13064956665039 38.71131896972656)
2646_755,6635_20250101_118_0_12,118_0,0,38.75334930419922,-9.143580436706543,32,IN_TRANSIT_TO,2025-02-22 14:35:59,108,2646,75-VS-48,POINT (-9.143580436706543 38.75334930419922)
2664_738,5542_20250101_117_0_9,117_0,1,38.75019836425781,-9.160280227661133,29,IN_TRANSIT_TO,2025-02-22 14:35:59,13507,2664,05-VZ-68,POINT (-9.160280227661133 38.75019836425781)
2640_783,7806_20250101_203_2_14,203_2,1,38.7515983581543,-9.150830268859863,18,IN_TRANSIT_TO,2025-02-22 14:36:04,2008,2640,75-VS-43,POINT (-9.150830268859863 38.7515983581543)
542_24E,17833_20250101_213_0_20,213_0,0,38.71076965332031,-9.143630027770996,4,IN_TRANSIT_TO,2025-02-22 14:36:01,10601,542,,POINT (-9.143630027770996 38.71076965332031)
574_28E,14896_20250101_75_0_10,75_0,0,38.713050842285156,-9.129719734191895,12,IN_TRANSIT_TO,2025-02-22 14:36:08,13814,574,,POINT (-9.129719734191895 38.713050842285156)
6040_732,5066_20250101_107_2_9,107_2,0,38.7081298828125,-9.137920379638672,7,IN_TRANSIT_TO,2025-02-22 14:34:45,5508,6040,BG-46-LT,POINT (-9.137920379638672 38.7081298828125)
2996_45B,45295_20250101_277_0_13,277_0,0,38.7617301940918,-9.163780212402344,13,IN_TRANSIT_TO,2025-02-22 14:36:14,5823,2996,30-VM-03,POINT (-9.163780212402344 38.7617301940918)
402_73B,35078_20250101_220_0_10,220_0,0,38.70502853393555,-9.187700271606445,32,IN_TRANSIT_TO,2025-02-22 14:35:20,12006,402,BF-81-TP,POINT (-9.187700271606445 38.70502853393555)
549_28E,14961_20250101_75_0_11,75_0,1,38.72330093383789,-9.131549835205078,18,IN_TRANSIT_TO,2025-02-22 14:36:15,9126,549,,POINT (-9.131549835205078 38.72330093383789)
2636_759,6954_20250101_144_0_10,144_0,1,38.72072982788086,-9.116820335388184,38,IN_TRANSIT_TO,2025-02-22 14:36:05,9816,2636,87-VS-50,POINT (-9.116820335388184 38.72072982788086)
571_28E,14947_20250101_75_0_15,75_0,1,38.71725082397461,-9.129819869995117,15,IN_TRANSIT_TO,2025-02-22 14:36:09,14803,571,,POINT (-9.129819869995117 38.71725082397461)
2652_711,3505_20250101_101_0_8,101_0,1,38.7087287902832,-9.135370254516602,34,IN_TRANSIT_TO,2025-02-22 14:36:13,5501,2652,05-VZ-61,POINT (-9.135370254516602 38.7087287902832)
2626_708,3306_20250101_100_0_12,100_0,0,38.74224853515625,-9.133099555969238,9,IN_TRANSIT_TO,2025-02-22 14:36:21,411,2626,52-VP-86,POINT (-9.133099555969238 38.74224853515625)
2621_759,6901_20250101_144_0_9,144_0,0,38.75682067871094,-9.112899780273438,47,IN_TRANSIT_TO,2025-02-22 14:36:09,7825,2621,66-VI-45,POINT (-9.112899780273438 38.75682067871094)
2622_718,3944_20250101_105_0_15,105_0,1,38.74618148803711,-9.104399681091309,22,IN_TRANSIT_TO,2025-02-22 14:35:57,12523,2622,66-VI-21,POINT (-9.104399681091309 38.74618148803711)
