id,trip_id,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,license_plate,geometry
4645_750,6273_20250801_106_0_8,106_0,1,38.7486686706543,-9.18822956085205,18,IN_TRANSIT_TO,2025-08-24 10:43:06,10805,4645,98-JO-46,POINT (-9.18822956085205 38.7486686706543)
2315_742,19522_20250801_114_0_4,114_0,1,38.71372985839844,-9.19629955291748,2,IN_TRANSIT_TO,2025-08-24 10:42:58,12928,2315,61-88-ZB,POINT (-9.19629955291748 38.71372985839844)
2992_774,7427_20250801_192_1_9,192_1,0,38.72560119628906,-9.14603042602539,29,IN_TRANSIT_TO,2025-08-24 10:42:49,1218,2992,29-VM-95,POINT (-9.14603042602539 38.72560119628906)
2448_729,4797_20250801_104_0_8,104_0,0,38.69736862182617,-9.204500198364258,34,IN_TRANSIT_TO,2025-08-24 10:42:56,50135,2448,44-BC-34,POINT (-9.204500198364258 38.69736862182617)
558_28E,14939_20250801_75_0_3,75_0,1,38.71546936035156,-9.137029647827148,35,IN_TRANSIT_TO,2025-08-24 10:43:05,804,558,,POINT (-9.137029647827148 38.71546936035156)
603_15E,11294_20250801_76_0_9,76_0,1,38.70827865600586,-9.13634967803955,22,IN_TRANSIT_TO,2025-08-24 10:42:55,5512,603,,POINT (-9.13634967803955 38.70827865600586)
2250_731,19403_20240727_190_0_8,190_0,1,38.78303146362305,-9.114009857177734,3,IN_TRANSIT_TO,2024-08-10 10:41:27,12610,2250,80-41-ZE,POINT (-9.114009857177734 38.78303146362305)
4602_753,20093_20250801_167_0_10,167_0,1,38.724151611328125,-9.16057014465332,4,IN_TRANSIT_TO,2025-08-24 10:43:07,8502,4602,96-GL-80,POINT (-9.16057014465332 38.724151611328125)
2292_724,4201_20250801_178_0_10,178_0,1,38.76340103149414,-9.197680473327637,1,IN_TRANSIT_TO,2025-08-24 10:42:57,13908,2292,83-16-ZM,POINT (-9.197680473327637 38.76340103149414)
2328_717,3832_20250801_170_0_8,170_0,1,38.75904846191406,-9.156350135803223,25,IN_TRANSIT_TO,2025-08-24 10:42:51,5808,2328,62-96-ZG,POINT (-9.156350135803223 38.75904846191406)
612_15E,11308_20250801_76_0_2,76_0,1,38.703670501708984,-9.171629905700684,15,IN_TRANSIT_TO,2025-08-24 10:43:05,4001,612,,POINT (-9.171629905700684 38.703670501708984)
2494_742,5716_20250801_114_0_6,114_0,1,38.73173141479492,-9.127619743347168,43,IN_TRANSIT_TO,2025-08-24 10:43:07,502,2494,88-BL-68,POINT (-9.127619743347168 38.73173141479492)
2346_768,19461_20250801_111_2_19,111_2,0,38.7755012512207,-9.179780006408691,26,IN_TRANSIT_TO,2025-08-23 18:54:24,50111,2346,62-93-ZG,POINT (-9.179780006408691 38.7755012512207)
2951_29B,17530_20250801_209_0_9,209_0,0,38.76237106323242,-9.109569549560547,9,IN_TRANSIT_TO,2025-08-24 10:43:10,8423,2951,62-GQ-53,POINT (-9.109569549560547 38.76237106323242)
2624_718,3947_20250801_105_0_10,105_0,0,38.73297882080078,-9.131429672241211,27,IN_TRANSIT_TO,2025-08-24 10:43:07,501,2624,72-VP-82,POINT (-9.131429672241211 38.73297882080078)
4614_750,6255_20250801_106_0_7,106_0,1,38.75645065307617,-9.146530151367188,26,IN_TRANSIT_TO,2025-08-24 10:43:07,5712,4614,96-GL-90,POINT (-9.146530151367188 38.75645065307617)
4616_750,6317_20250801_106_0_7,106_0,0,38.75017166137695,-9.19752025604248,23,IN_TRANSIT_TO,2025-08-24 10:42:51,10802,4616,22-GP-50,POINT (-9.19752025604248 38.75017166137695)
2953_40B,19272_20250801_212_0_9,212_0,0,38.79225158691406,-9.14799976348877,8,IN_TRANSIT_TO,2025-08-24 10:42:47,50195,2953,62-GQ-55,POINT (-9.14799976348877 38.79225158691406)
2950_26B,17516_20250801_208_2_11,208_2,0,38.772918701171875,-9.09762954711914,10,IN_TRANSIT_TO,2025-08-24 10:42:54,7824,2950,62-GQ-51,POINT (-9.09762954711914 38.772918701171875)
4626_736,5317_20250801_199_0_10,199_0,1,38.77177047729492,-9.160630226135254,10,IN_TRANSIT_TO,2025-08-24 10:43:03,5906,4626,90-JI-93,POINT (-9.160630226135254 38.77177047729492)
4650_750,6344_20250801_106_0_7,106_0,0,38.760379791259766,-9.134480476379395,10,IN_TRANSIT_TO,2025-08-24 10:43:09,7515,4650,11-JM-80,POINT (-9.134480476379395 38.760379791259766)
2973_45B,45287_20250801_277_0_9,277_0,0,38.774600982666016,-9.149279594421387,3,IN_TRANSIT_TO,2025-08-24 10:43:13,11505,2973,30-VM-13,POINT (-9.149279594421387 38.774600982666016)
4627_736,18886_20250801_199_0_7,199_0,0,38.74530029296875,-9.147299766540527,9,IN_TRANSIT_TO,2025-08-24 10:42:11,1901,4627,11-JM-76,POINT (-9.147299766540527 38.74530029296875)
2691_727,4438_20250801_103_2_5,103_2,0,38.715728759765625,-9.154620170593262,12,IN_TRANSIT_TO,2025-08-24 10:42:34,6818,2691,90-XF-45,POINT (-9.154620170593262 38.715728759765625)
2690_714,3642_20250801_102_0_5,102_0,0,38.70167922973633,-9.181150436401367,14,IN_TRANSIT_TO,2025-08-24 10:42:49,12108,2690,99-XE-57,POINT (-9.181150436401367 38.70167922973633)
2694_711,3459_20250801_101_0_8,101_0,1,38.724979400634766,-9.153679847717285,28,IN_TRANSIT_TO,2025-08-24 10:42:59,1224,2694,90-XF-49,POINT (-9.153679847717285 38.724979400634766)
6048_760,51303_20250801_171_0_2,171_0,0,38.707618713378906,-9.140119552612305,10,IN_TRANSIT_TO,2025-08-24 10:43:19,5502,6048,BH-46-IR,POINT (-9.140119552612305 38.707618713378906)
2695_714,3669_20250801_102_0_8,102_0,1,38.7222785949707,-9.224370002746582,3,IN_TRANSIT_TO,2025-08-24 10:43:18,18705,2695,90-XF-50,POINT (-9.224370002746582 38.7222785949707)
2952_40B,17564_20250801_212_0_10,212_0,1,38.78443145751953,-9.142829895019531,17,IN_TRANSIT_TO,2025-08-24 10:43:02,6014,2952,62-GQ-54,POINT (-9.142829895019531 38.78443145751953)
2676_738,18595_20250801_117_0_3,117_0,0,38.75497817993164,-9.175979614257812,0,IN_TRANSIT_TO,2025-08-24 10:43:21,,2676,87-XB-40,POINT (-9.175979614257812 38.75497817993164)
2677_738,18593_20250801_117_0_7,117_0,0,38.726219177246094,-9.149620056152344,21,IN_TRANSIT_TO,2025-08-24 10:42:50,1206,2677,87-XB-41,POINT (-9.149620056152344 38.726219177246094)
2673_709,18719_20250801_148_0_13,148_0,1,38.718868255615234,-9.144479751586914,9,IN_TRANSIT_TO,2025-08-24 10:43:01,1102,2673,87-XB-37,POINT (-9.144479751586914 38.718868255615234)
2670_711,3481_20250801_101_0_5,101_0,0,38.73577117919922,-9.203450202941895,17,IN_TRANSIT_TO,2025-08-24 10:42:48,8827,2670,87-XB-32,POINT (-9.203450202941895 38.73577117919922)
2675_709,18720_20250801_148_0_12,148_0,0,38.71464920043945,-9.160719871520996,9,IN_TRANSIT_TO,2025-08-24 10:43:13,8104,2675,87-XB-35,POINT (-9.160719871520996 38.71464920043945)
2962_79B,18667_20250801_221_0_7,221_0,0,38.69881820678711,-9.227069854736328,40,IN_TRANSIT_TO,2025-08-24 10:43:18,4208,2962,30-VM-07,POINT (-9.227069854736328 38.69881820678711)
6031_760,7051_20250801_171_0_7,171_0,1,38.704750061035156,-9.186380386352539,20,IN_TRANSIT_TO,2025-08-24 10:43:05,12007,6031,BF-87-AX,POINT (-9.186380386352539 38.704750061035156)
604_15E,11269_20250801_76_0_3,76_0,0,38.703529357910156,-9.169879913330078,8,IN_TRANSIT_TO,2025-08-24 10:42:57,10202,604,,POINT (-9.169879913330078 38.703529357910156)
4819_728,4684_20250801_204_0_5,204_0,0,38.6974983215332,-9.188019752502441,13,IN_TRANSIT_TO,2025-08-24 10:43:14,9501,4819,34-VR-16,POINT (-9.188019752502441 38.6974983215332)
6014_706,18895_20250801_147_0_8,147_0,0,38.70589828491211,-9.143899917602539,0,IN_TRANSIT_TO,2025-08-24 10:43:20,,6014,67-ZF-30,POINT (-9.143899917602539 38.70589828491211)
2723_746,5968_20250801_108_0_11,108_0,0,38.75008010864258,-9.19552993774414,18,IN_TRANSIT_TO,2025-08-24 10:43:20,10802,2723,92-XQ-43,POINT (-9.19552993774414 38.75008010864258)
2347_758,6782_20250801_150_0_9,150_0,0,38.74991989135742,-9.203120231628418,27,IN_TRANSIT_TO,2025-08-24 10:43:17,10802,2347,53-61-ZJ,POINT (-9.203120231628418 38.74991989135742)
2441_726,4259_20250801_116_0_7,116_0,0,38.738529205322266,-9.154279708862305,13,IN_TRANSIT_TO,2025-08-24 10:43:03,33102,2441,29-AX-07,POINT (-9.154279708862305 38.738529205322266)
2493_735,5223_20250801_172_0_8,172_0,1,38.72132110595703,-9.129179954528809,21,IN_TRANSIT_TO,2025-08-24 10:43:06,9110,2493,88-BL-65,POINT (-9.129179954528809 38.72132110595703)
2844_728,4667_20250801_204_0_5,204_0,0,38.726898193359375,-9.109649658203125,27,IN_TRANSIT_TO,2025-08-24 10:43:12,9809,2844,BF-73-FZ,POINT (-9.109649658203125 38.726898193359375)
608_15E,11193_20250801_76_0_6,76_0,1,38.69742965698242,-9.194100379943848,8,IN_TRANSIT_TO,2025-08-24 10:42:51,4113,608,,POINT (-9.194100379943848 38.69742965698242)
