id,trip_id,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,license_plate,geometry
2267_731,19406_20260101_190_0_4,190_0,1,38.7413215637207,-9.160269737243652,31,IN_TRANSIT_TO,2026-03-20 08:58:45,1512,2267,76-86-ZG,POINT (-9.160269737243652 38.7413215637207)
2624_744,5830_20260101_200_0_3,200_0,0,38.72629928588867,-9.149279594421387,2,IN_TRANSIT_TO,2026-03-20 08:58:51,1103,2624,72-VP-82,POINT (-9.149279594421387 38.72629928588867)
257_58B,19291_20260101_227_0_5,227_0,0,38.756229400634766,-9.180999755859375,12,IN_TRANSIT_TO,2026-03-20 08:58:42,50422,257,AF-59-RM,POINT (-9.180999755859375 38.756229400634766)
6043_732,5088_20260101_107_0_1,107_0,1,38.72854995727539,-9.144350051879883,36,IN_TRANSIT_TO,2026-03-20 08:58:42,6601,6043,BG-93-LT,POINT (-9.144350051879883 38.72854995727539)
2819_754,6604_20260101_201_0_4,201_0,1,38.74372863769531,-9.17615032196045,27,IN_TRANSIT_TO,2026-03-20 08:58:53,10705,2819,90-II-59,POINT (-9.17615032196045 38.74372863769531)
607_15E,11288_20260101_76_0_6,76_0,1,38.70479965209961,-9.177330017089844,14,IN_TRANSIT_TO,2026-03-20 08:58:22,12115,607,IA-30-13,POINT (-9.177330017089844 38.70479965209961)
2422_716,3747_20260101_164_0_7,164_0,0,38.74892044067383,-9.20283031463623,24,IN_TRANSIT_TO,2026-03-20 08:58:43,10921,2422,29-AU-17,POINT (-9.20283031463623 38.74892044067383)
6028_706,3267_20260101_147_0_6,147_0,0,38.708831787109375,-9.150979995727539,6,IN_TRANSIT_TO,2026-03-20 08:58:40,7105,6028,BF-68-AX,POINT (-9.150979995727539 38.708831787109375)
6031_732,5093_20260101_107_0_3,107_0,1,38.706268310546875,-9.145279884338379,27,IN_TRANSIT_TO,2026-03-20 08:58:40,7101,6031,BF-87-AX,POINT (-9.145279884338379 38.706268310546875)
2451_729,4788_20260101_104_0_4,104_0,0,38.723121643066406,-9.194999694824219,21,IN_TRANSIT_TO,2026-03-20 08:58:47,8702,2451,75-AQ-16,POINT (-9.194999694824219 38.723121643066406)
6005_758,6837_20260101_150_0_3,150_0,0,38.70560073852539,-9.1431303024292,0,IN_TRANSIT_TO,2026-03-20 08:58:46,,6005,81-ZC-91,POINT (-9.1431303024292 38.70560073852539)
566_18E,12202_20260101_78_0_4,78_0,1,38.70597839355469,-9.183349609375,11,IN_TRANSIT_TO,2026-03-20 08:58:39,12011,566,,POINT (-9.183349609375 38.70597839355469)
2479_729,4757_20260101_104_0_4,104_0,0,38.69913101196289,-9.225899696350098,39,IN_TRANSIT_TO,2026-03-20 08:58:33,4208,2479,91-BE-74,POINT (-9.225899696350098 38.69913101196289)
2773_727,4537_20260101_103_0_3,103_0,1,38.7067985534668,-9.17533016204834,19,IN_TRANSIT_TO,2026-03-20 08:58:29,12105,2773,AH-39-ND,POINT (-9.17533016204834 38.7067985534668)
