id,trip_id,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,license_plate,geometry
1742_203,12771_20260101_62_0_6,62_0,0,38.73522186279297,-9.140419960021973,50,IN_TRANSIT_TO,2026-01-11 04:34:20,11101,1742,91-HR-99,POINT (-9.140419960021973 38.73522186279297)
2250_731,19403_20240727_190_0_8,190_0,1,38.78303146362305,-9.114009857177734,3,IN_TRANSIT_TO,2024-08-10 10:41:27,12610,2250,80-41-ZE,POINT (-9.114009857177734 38.78303146362305)
2951_29B,17527_20251202_209_0_13,209_0,0,38.77273178100586,-9.1181001663208,22,IN_TRANSIT_TO,2025-12-17 14:32:48,50347,2951,62-GQ-53,POINT (-9.1181001663208 38.77273178100586)
2347_758,6877_20251202_150_0_14,150_0,1,38.72425079345703,-9.160369873046875,21,IN_TRANSIT_TO,2025-12-09 19:31:15,6120,2347,53-61-ZJ,POINT (-9.160369873046875 38.72425079345703)
2821_201,12650_20260101_60_0_11,60_0,0,38.706478118896484,-9.151570320129395,3,IN_TRANSIT_TO,2026-01-11 04:34:14,7102,2821,BF-71-FZ,POINT (-9.151570320129395 38.706478118896484)
2663_714,3697_20240914_102_0_16,102_0,1,38.72127151489258,-9.221500396728516,4,IN_TRANSIT_TO,2024-10-22 20:26:58,18703,2663,05-VZ-62,POINT (-9.221500396728516 38.72127151489258)
6003_203,12762_20260101_62_0_6,62_0,1,38.72407150268555,-9.114069938659668,1,IN_TRANSIT_TO,2026-01-11 04:34:09,50616,6003,82-ZC-02,POINT (-9.114069938659668 38.72407150268555)
276_28E,48783_20250901_75_8_35,75_8,1,38.71432876586914,-9.169320106506348,15,IN_TRANSIT_TO,2025-11-16 23:22:53,8017,276,AH-12-TB,POINT (-9.169320106506348 38.71432876586914)
2327_712,3565_20250901_189_0_8,189_0,1,38.72502899169922,-9.15291976928711,14,IN_TRANSIT_TO,2025-11-11 11:30:40,1224,2327,67-53-ZJ,POINT (-9.15291976928711 38.72502899169922)
2812_208,13112_20260101_65_0_2,65_0,1,38.736881256103516,-9.133879661560059,40,IN_TRANSIT_TO,2026-01-11 04:34:09,410,2812,90-II-61,POINT (-9.133879661560059 38.736881256103516)
2815_755,6706_20260101_118_0_10,118_0,1,38.7529296875,-9.143819808959961,10,IN_TRANSIT_TO,2026-01-07 18:38:02,104,2815,90-II-55,POINT (-9.143819808959961 38.7529296875)
2819_210,13571_20260101_66_0_8,66_0,1,38.756221771240234,-9.104849815368652,25,IN_TRANSIT_TO,2026-01-11 04:34:03,2301,2819,90-II-59,POINT (-9.104849815368652 38.756221771240234)
2817_210,13547_20260101_66_0_6,66_0,0,38.7081184387207,-9.137470245361328,2,IN_TRANSIT_TO,2026-01-11 04:34:07,3824,2817,90-II-57,POINT (-9.137470245361328 38.7081184387207)
2816_208,13066_20260101_65_0_6,65_0,1,38.774871826171875,-9.103400230407715,5,IN_TRANSIT_TO,2026-01-11 04:33:55,7908,2816,90-II-56,POINT (-9.103400230407715 38.774871826171875)
2777_202,12713_20260101_61_0_7,61_0,0,38.76316833496094,-9.19713020324707,40,IN_TRANSIT_TO,2026-01-11 04:34:18,13912,2777,AI-01-BT,POINT (-9.19713020324707 38.76316833496094)
2818_208,13094_20260101_65_0_7,65_0,0,38.70814895629883,-9.136980056762695,2,IN_TRANSIT_TO,2026-01-11 04:34:01,3824,2818,90-II-58,POINT (-9.136980056762695 38.70814895629883)
1775_207,13027_20260101_64_0_8,64_0,1,38.7713508605957,-9.160380363464355,21,IN_TRANSIT_TO,2026-01-11 04:34:11,5906,1775,53-HX-08,POINT (-9.160380363464355 38.7713508605957)
1773_206,12966_20260101_136_0_7,136_0,0,38.7087287902832,-9.135199546813965,3,IN_TRANSIT_TO,2026-01-11 04:33:11,5501,1773,53-HX-06,POINT (-9.135199546813965 38.7087287902832)
2413_767,7297_20260101_112_0_11,112_0,0,38.735069274902344,-9.14153003692627,6,IN_TRANSIT_TO,2026-01-09 18:27:30,11102,2413,92-AO-50,POINT (-9.14153003692627 38.735069274902344)
1772_207,13003_20260101_64_0_6,64_0,0,38.70896911621094,-9.136099815368652,3,IN_TRANSIT_TO,2026-01-11 04:33:54,5519,1772,63-HX-22,POINT (-9.136099815368652 38.70896911621094)
2420_726,4310_20251202_116_0_7,116_0,0,38.72196960449219,-9.128729820251465,1,IN_TRANSIT_TO,2025-12-30 12:36:22,50282,2420,29-AU-15,POINT (-9.128729820251465 38.72196960449219)
1766_206,12984_20260101_136_0_2,136_0,1,38.741329193115234,-9.13344955444336,32,IN_TRANSIT_TO,2026-01-11 04:34:02,302,1766,63-HX-33,POINT (-9.13344955444336 38.741329193115234)
2787_202,12689_20260101_61_0_7,61_0,0,38.71485137939453,-9.144479751586914,5,IN_TRANSIT_TO,2026-01-11 04:34:00,10601,2787,AI-55-TL,POINT (-9.144479751586914 38.71485137939453)
2838_201,12673_20260101_60_0_8,60_0,1,38.69832992553711,-9.227370262145996,10,IN_TRANSIT_TO,2026-01-11 04:34:21,4213,2838,BF-59-FZ,POINT (-9.227370262145996 38.69832992553711)
2405_767,7252_20260101_112_0_11,112_0,0,38.755218505859375,-9.14501953125,15,IN_TRANSIT_TO,2026-01-10 18:26:50,106,2405,50-AL-10,POINT (-9.14501953125 38.755218505859375)
6002_203,12750_20260101_62_0_6,62_0,1,38.709171295166016,-9.195699691772461,52,IN_TRANSIT_TO,2026-01-11 04:34:11,10304,6002,98-XU-85,POINT (-9.195699691772461 38.709171295166016)
6008_203,12782_20260101_62_0_6,62_0,0,38.71318054199219,-9.20337963104248,7,IN_TRANSIT_TO,2026-01-11 04:34:17,50577,6008,81-ZC-08,POINT (-9.20337963104248 38.71318054199219)
